Filename,Number of Object Get Resquests
misc-public/0_data_zone_fsi_cloudformation.yaml,35
misc-public/0_datazone_cloudformation.yaml,31
misc-public/Aggregate_Small_Parquet_File_Glue_Job_Deployment.yaml,20
misc-public/AmazonSecurityLakeMetaStoreManager_IAM_Role.yaml,0
misc-public/GlueImmersionDay.yaml,255
misc-public/Glue_Job_Deployment_Create_Small_Parquet_Files.yaml,5
misc-public/KDA_studio_kinesis_demo.yaml,1
misc-public/OpenSearch_Neural_Search.yaml,18
misc-public/OpenSearch_cloudwatch_alarms.yaml,375
misc-public/OpenSearch_cross_cluster_replication_demo.yaml,4
misc-public/OpenSearch_demo.yaml,9
misc-public/OpenSearch_demo_Cloud9_simple.yaml,1
misc-public/OpenSearch_demo_VPC.yaml,1
misc-public/OpenSearch_demo_alerting.yaml,3
misc-public/OpenSearch_demo_anomaly_detection.yaml,1
misc-public/OpenSearch_kNN_Vector_Search.yaml,13
misc-public/cloud_watch_dashboard.yaml,2
misc-public/dynamo_lambda_opensearch.yaml,1
misc-public/dynamo_lambda_opensearch_vpc.yaml,1
misc-public/ecr_repository.yaml,2
misc-public/emr_studio_demo.yaml,2
misc-public/kinesis_Cloud9.yaml,1
misc-public/logstash_cloud9_s3.yaml,2
misc-public/msk_cluster.yaml,0
misc-public/msk_cluster_Plaintext.yaml,0
misc-public/msk_cluster_TLS.yaml,0
misc-public/msk_lambda_opensearch.yaml,77
misc-public/neo4j_ecs_basic.yaml,13
misc-public/neo4j_ecs_ssl_self-signed.yaml,84
misc-public/opensearch-dashboard-no-ssl-ecs-fargate.yaml,28
misc-public/opensearch_Sigv4.yaml,3
misc-public/opensearch_deleteddocuments.yaml,0
misc-public/opensearch_nginx.yaml,104
misc-public/opensearchpy_Sigv4.yaml,0
